epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,22467.1,1.30578,1.64825,1.48657,0.47748,0.5455,0.52377,0.32258,1.38419,1.33795,1.72205,0.005842,0.005842,0.005842
44,22997.6,1.30174,1.64472,1.48398,0.49765,0.54552,0.53414,0.32719,1.3858,1.32417,1.7198,0.005743,0.005743,0.005743
45,23515.3,1.2886,1.62145,1.47234,0.47001,0.54997,0.5312,0.3278,1.38324,1.32028,1.71375,0.005644,0.005644,0.005644
46,24034.5,1.29425,1.61313,1.47488,0.46718,0.5424,0.53207,0.32649,1.38193,1.32334,1.71417,0.005545,0.005545,0.005545
47,24552.9,1.28435,1.59281,1.46831,0.47703,0.53776,0.53644,0.32894,1.38937,1.32571,1.72284,0.005446,0.005446,0.005446
48,25071.9,1.27885,1.56961,1.4647,0.45842,0.57218,0.53824,0.33007,1.38287,1.31085,1.7193,0.005347,0.005347,0.005347
49,25595.9,1.26825,1.55144,1.46081,0.48745,0.56166,0.54165,0.33509,1.38302,1.30034,1.71924,0.005248,0.005248,0.005248
50,26117.9,1.27145,1.54257,1.46154,0.47888,0.5636,0.54581,0.33836,1.38163,1.29835,1.71998,0.005149,0.005149,0.005149
51,26636.7,1.27277,1.52993,1.46179,0.51416,0.53403,0.54523,0.33759,1.38218,1.28141,1.72134,0.00505,0.00505,0.00505
52,27155.7,1.26493,1.52871,1.46176,0.47092,0.58593,0.54905,0.33904,1.3853,1.27994,1.72562,0.004951,0.004951,0.004951
53,27675,1.26337,1.51186,1.45536,0.48438,0.56551,0.54796,0.33947,1.38286,1.28188,1.72123,0.004852,0.004852,0.004852
54,28193.6,1.25562,1.49274,1.44909,0.49153,0.55721,0.55196,0.34079,1.38349,1.27436,1.7194,0.004753,0.004753,0.004753
55,28713.1,1.25347,1.49165,1.44693,0.47578,0.59262,0.55213,0.34171,1.38333,1.27109,1.72008,0.004654,0.004654,0.004654
56,29232.1,1.25351,1.4699,1.44876,0.49499,0.5649,0.54739,0.34095,1.38536,1.27388,1.72219,0.004555,0.004555,0.004555
57,29751.9,1.24348,1.46812,1.44224,0.48565,0.58184,0.55068,0.34064,1.38342,1.2701,1.72439,0.004456,0.004456,0.004456
58,30270.4,1.24168,1.442,1.4402,0.47379,0.57822,0.54416,0.33816,1.38245,1.26887,1.7238,0.004357,0.004357,0.004357
59,30787.8,1.24224,1.44804,1.43895,0.46178,0.57645,0.54606,0.33971,1.38196,1.26966,1.72267,0.004258,0.004258,0.004258
60,31308.9,1.22901,1.42772,1.4289,0.48837,0.55512,0.54819,0.34166,1.38451,1.26741,1.72311,0.004159,0.004159,0.004159
61,31827.7,1.2285,1.41927,1.43388,0.50106,0.54681,0.54851,0.3407,1.38443,1.26705,1.72472,0.00406,0.00406,0.00406
62,32345.2,1.21881,1.40271,1.42613,0.49314,0.56385,0.55032,0.34265,1.38637,1.26523,1.72837,0.003961,0.003961,0.003961
63,32864.6,1.21994,1.39055,1.42586,0.49125,0.55579,0.54947,0.34296,1.38686,1.26396,1.72792,0.003862,0.003862,0.003862
64,33384.1,1.21664,1.37177,1.42587,0.47603,0.5747,0.55132,0.34241,1.38773,1.26121,1.72915,0.003763,0.003763,0.003763
65,33901.8,1.20353,1.36237,1.4165,0.47443,0.57622,0.54981,0.34197,1.38619,1.2605,1.72902,0.003664,0.003664,0.003664
66,34421.5,1.19607,1.3579,1.40915,0.48686,0.57238,0.54994,0.34196,1.3847,1.2627,1.72745,0.003565,0.003565,0.003565
67,34939.9,1.20649,1.35515,1.41434,0.4799,0.57473,0.55218,0.34292,1.3851,1.26275,1.72815,0.003466,0.003466,0.003466
68,35459.4,1.20081,1.3433,1.41331,0.49558,0.55127,0.54957,0.34124,1.38495,1.26289,1.72797,0.003367,0.003367,0.003367
69,35978.7,1.19228,1.30974,1.40753,0.49484,0.55675,0.54963,0.34067,1.38492,1.26321,1.72825,0.003268,0.003268,0.003268
70,36498,1.19044,1.31547,1.40652,0.51339,0.5378,0.54777,0.34013,1.38496,1.26448,1.72922,0.003169,0.003169,0.003169
71,37015.6,1.18388,1.30681,1.40746,0.497,0.56812,0.55154,0.34089,1.38507,1.26734,1.73039,0.00307,0.00307,0.00307
72,37533.9,1.16868,1.27081,1.39226,0.49785,0.56121,0.55001,0.34022,1.38678,1.2692,1.73215,0.002971,0.002971,0.002971
73,38053.6,1.17295,1.26208,1.3993,0.4977,0.57184,0.54956,0.3408,1.38811,1.2715,1.73362,0.002872,0.002872,0.002872
74,38575.1,1.16831,1.2658,1.39317,0.50589,0.55915,0.55023,0.34379,1.38828,1.27339,1.73448,0.002773,0.002773,0.002773
75,39093.2,1.16,1.26158,1.38692,0.51265,0.54956,0.55119,0.34419,1.3885,1.27482,1.73572,0.002674,0.002674,0.002674
76,39612.7,1.15887,1.22899,1.38707,0.5068,0.55465,0.55182,0.34419,1.38907,1.27645,1.73732,0.002575,0.002575,0.002575
77,40132.3,1.15253,1.22362,1.38172,0.49348,0.58474,0.55204,0.34444,1.39031,1.27796,1.73939,0.002476,0.002476,0.002476
78,40654,1.14861,1.2232,1.38171,0.49078,0.58585,0.55317,0.34469,1.39137,1.27927,1.74095,0.002377,0.002377,0.002377
79,41174,1.13832,1.20693,1.37276,0.48624,0.58852,0.55194,0.34411,1.39307,1.2804,1.74302,0.002278,0.002278,0.002278
80,41695.5,1.13768,1.20669,1.37501,0.48776,0.58532,0.55392,0.34545,1.39424,1.28068,1.74451,0.002179,0.002179,0.002179
81,42214,1.12595,1.18401,1.37008,0.48465,0.58767,0.55442,0.34534,1.39493,1.28096,1.74584,0.00208,0.00208,0.00208
82,42732.5,1.12393,1.1708,1.36382,0.48229,0.58985,0.55427,0.34565,1.39558,1.28134,1.74696,0.001981,0.001981,0.001981
83,43257.5,1.12179,1.17282,1.36379,0.48418,0.58874,0.55508,0.34552,1.39625,1.28191,1.7481,0.001882,0.001882,0.001882
84,43784.1,1.10733,1.14168,1.35496,0.488,0.58217,0.55535,0.34519,1.39737,1.28247,1.74979,0.001783,0.001783,0.001783
85,44306.9,1.10627,1.14808,1.35561,0.4997,0.56606,0.55517,0.34539,1.39791,1.28334,1.75111,0.001684,0.001684,0.001684
86,44826,1.09599,1.12748,1.34658,0.50156,0.56661,0.55564,0.34615,1.39848,1.28388,1.75256,0.001585,0.001585,0.001585
87,45345.1,1.0995,1.12551,1.34577,0.50627,0.57109,0.55638,0.34674,1.39896,1.28507,1.75381,0.001486,0.001486,0.001486
88,45864.9,1.09202,1.11591,1.34419,0.51054,0.56706,0.55647,0.34661,1.39979,1.2858,1.75531,0.001387,0.001387,0.001387
89,46383.4,1.08576,1.09904,1.34146,0.50976,0.56953,0.55637,0.34723,1.40015,1.28672,1.75634,0.001288,0.001288,0.001288
90,46907.7,1.0774,1.08638,1.33774,0.51069,0.56876,0.55691,0.34761,1.40104,1.28719,1.75807,0.001189,0.001189,0.001189
91,47436.2,0.98248,0.75628,1.37632,0.51111,0.56942,0.55677,0.347,1.40186,1.28874,1.75974,0.00109,0.00109,0.00109
92,47966.8,0.96867,0.72804,1.36829,0.51154,0.56892,0.55717,0.34639,1.40259,1.28997,1.76111,0.000991,0.000991,0.000991
93,48497.4,0.95952,0.70935,1.36043,0.51081,0.57045,0.55713,0.34636,1.40325,1.29125,1.76243,0.000892,0.000892,0.000892
94,49021,0.9503,0.70899,1.3521,0.51421,0.56783,0.55697,0.34672,1.40392,1.29242,1.76362,0.000793,0.000793,0.000793
95,49551.3,0.93655,0.68573,1.34354,0.51669,0.56533,0.55572,0.34513,1.40436,1.294,1.76496,0.000694,0.000694,0.000694
96,50079.7,0.93478,0.68094,1.33996,0.51666,0.56518,0.55358,0.3448,1.40481,1.29524,1.76643,0.000595,0.000595,0.000595
97,50603.5,0.91694,0.66446,1.32439,0.51669,0.5645,0.55334,0.34458,1.40531,1.29618,1.76779,0.000496,0.000496,0.000496
98,51122.8,0.91208,0.65524,1.32163,0.51558,0.56372,0.55365,0.34468,1.40611,1.29736,1.76955,0.000397,0.000397,0.000397
99,51640.1,0.90453,0.65145,1.31922,0.52018,0.56291,0.55392,0.34496,1.407,1.29891,1.77143,0.000298,0.000298,0.000298
100,52156.9,0.89859,0.64364,1.31283,0.52191,0.56092,0.55483,0.34502,1.40785,1.29991,1.77316,0.000199,0.000199,0.000199
